title,review
Still a lot of questions,"I was looking for a new show to binge and since Yellowjackets has gotten nothing but great reviews from both critics and audience alike I chose this. I'm glad I did because it is something both original and entertaining. I know a lot of people are comparing this to Lord of the Flies and I can definitely see that comparison, it has that kind of feel to the show but also something original. It's an intense mystery thriller that will keep you guessing and wanting more throughout the series. You end up becoming so invested in it that you can't wait to see what happens next and you'll want to binge it as quickly as possible. The entire cast is great here but Melanie Lynskey and Christina Ricci are the real standouts here. Both were just nominated for an Emmy, as was the show itself for best drama. It also currently has a 97% on Rotten Tomatoes. That's how good this is, it's being nominated for every major award their is. I was really looking forward to Season 2 because there are still a lot of unanswered questions that need to be answered but for every answer they provide, there are more questions. Season 2 just ended and there's still way too many unanswered questions."
Glad I gave this a chance,"I finally gave in and gave Yellowjackets a try after hearing so many great things about it. I actually liked it much more than I thought I would, to the point where I'm actually mad at myself for putting it off as long as I did. All the twists and turns will keep on the edge of your seat every episode to the point it becomes addicting. It has everything you want in a good show...drama, mystery, comedy, action, etc. There's not a bad episode in the series, there's so slow episodes but not bad episodes. The acting is what really carries the show though. Melanie Lynskey deserves every bit of praise that she's been getting for her role. She's so good that it's the type of performance that's going to lead to even bigger things for her."
"It is NOT ""Lord of the Flies""","Ñor is it ""Alive!,"" although that's what the people who watch one trailer and the first episode want you to think.But one could forgive them for thinking as much, because Showtime deliberately provokes thoughts of both in the trailer and set up. The airplane for a team of young female soccer players crashes into the wilderness, leaving them stranded and hungry. They will eventually run out of food options, and they know it. The specter of starvation haunts them the minute they run out of fresh meat (and we know what the similarly stranded Uruguayan soccer team did to survive in their real life crash in ""Alive!"").Similarly, every American high school English student knows what happened to the British boys who set upon each other in William Golding's ""Lord of the Flies."" This series deliberately stirs our memory of Piggy by putting the baby-faced Christina Ricci in oversized glasses and a poodle wig.In most series, the pay off for the series would be seeing the girls devolve into gladiatorial self governance that results in cannibalism. Each scene would be a lead up to the inevitable grisly cannibalism after the girls turn on each other. However, this isn't that series, not by a long shot. It doesn't build up to a horrific death scene. It tells you that is where it's going in the first episode, and then, slowly and surely, reminds you that there is going to be life for some of the girls after the others are gone.The series is anchored by the stories of four surviving women and splits the action between what happened 25 years ago around the crash and what is happening now. Different actresses play the characters and women and girls, and they are joined in both timelines by other characters who support the story line.Does it sound confusing? It isn't, primarily because the two show runners cut their teeth doing ""Narcos"" and understand how to tell a complex story. They are helped in their storytelling by the uncanny ability of the younger actresses to match style and idiosyncrasies with the adult actresses, Juliette Lewis, Christina Ricci, Melanie Lynsky and Tawny Cypress.The series defies genre. It's horror, mystery, coming of age, romance, and adventure. The acting is fantastic (Christina Ricci is terrifying), and the script as novel as the first season of ""Lost.""The show is being released on a weekly basis. As of this writing, it is Christmas 2021 and on Episode 6, but the IMDB movie reviews are full of November reviews claiming to know what is going to happen and criticizing the plot. These have to be troll reviews by people who want attention on IMDB, because they could not have possibly seen the show.Give the series the same chance the critics (who loved it) did. The first 6 episodes will be worth your while, and we will see what happens after that."
Trauma,"This is not exactly an easy show to review which might be part of the problem. Trying to compare it to other shows would be a mistake. It is alot like ""Lord of The Flies"" and ""Alive"" but with teenage girls. However that is just a simple explanation. Basically a successful girls soccer team crash lands in the remote wilderness and are forced to learn how to survive. 25 years later the trauma the survivors face is still haunting them. Part survival epic, part psychological horror and part coming-of-age drama. Its about not dealing with your past and what happens years later when it comes back to haunt you."
Old tropes but unique blend,"Yellowjackets is a very trope-y show: the teen drama,the survival/""Robinsonade"", the cabin in the woods, the Blair Witch, the creepy child... Everything very familiar, sometimes even to the point where you wonder if they seriously went there in the most cliché way possible or if they're being slightly ironic about it.The tone is also very varied: from dark comedy to very heavy drama and everything in between, with ample genre mixing (horror, supernatural, realism, coming-of-age, psychological drama).AND YET, somehow everything falls into place in a unique blend of characteristics, none of which feels out of place. What it does most successfully (possibly better than any other similar show), is the deep study of complex decades-long trauma. I love how the intense trauma experienced by the teenage characters is so finely woven into the present day (25 years later) psyche of their adult versions.There's some superb acting by both generations of actors and the technical and artistic aspects are all to a high standard.My only wish, as I'm writing this at the beginning of Season 2 is that it doesn't go the way of LOST, with mysteries piling up without answers and a sense of making it up as they go along. I do however trust that the creators submitted a 5-season arc before production begun, which they'll hopefully stick to (and surely they must have studied LOST as a case study of ""how NOT to develop a multi-season horror/mystery/supernatural/survival show""). So here's hoping."
it's good.,"This is a good show. Is it the height of television? No. Is it compelling? Yes. It's had me hooked since episode one. A mostly teenage cast that delivers convincing performances. I haven't once felt any lack from this show. A lot of bad reviews, i think mostly because people are getting tired of teen ensemble dramas. But this is dark and shocking and much more than those reviews led me to believe. It's not riverdale at all (at all). Not lost either really, although definitely reminiscent. I've watched both of those shows in full, one with regret lol. Give it a try. Heck, it's got juliette lewis. Cape fear anyone?"
The difficult second album,"I really liked the first season and I wish there was a way to rate seasons separately on IMDB.Here's what I wrote in my review of the first season:Hadn't heard a peep about this show, I watched it just by chance. It's good!The acting is pretty good throughout (with some exceptions) and the story is quite intriguing. The flashbacks are more interesting than the modern day story line. The score, and in particular the vocal or choral parts, is outstanding.However, the dialogue leaves much to be desired. One example is shortly after one character discovers a desiccated corpse and says ""Something bad happened here"". What gave it away?? This actually made me laugh since it was almost exactly like when Forrest Whitaker discovered a bloody, gruesome murder scene in Species (1995) and has the same obvious moronic observation.Unfortunately the show falls into the mystery trap when present day characters talk to each other and say something along the lines ""because of what we did out there"" which happens numerous times. I understand why the writer chose to phrase it this way since they want it to be a mystery (and possibly because the showrunners still don't exactly know yet). The problem is that it makes no sense for the characters to talk this way when they're only speaking with each other, it's only for the audience.I have a sneaking suspicion that this show would have benefited from being a single season show with a proper ending, because it's already starting to drag a little. But I'm happy if they prove me wrong with season 2. Let's just hope this doesn't turn into another Wayward Pines.Rating: 8Review of the second season:Well, it turns out my suspicion was bang on target. The tempo slows down even more. Oh how I hate the ridiculous ""slow burn"" fad, which is on par with the shaky-cam fad in the early 00's. Just because something moves along at a glacial pace does not necessarily make it more profound.More mysteries are introduced and none are solved. Also new characters, even ones supposedly in the plane crash although they weren't in season 1. Echoes of Lost abound.The show has in part devolved into farce. The side plot with the police investigation is a dud, especially due to the performance of the new cop.The acting overall is even more broad, sometimes bordering on camp, in particular Juliette Lewis and Christina Ricci. The one part I found the most interesting were the scenes between Shauna and dead Jackie.Such a shame. I can't say I particularly look forward to season 3. AT any rate, let's hope it ends there.Rating: 5."
Lynskey & Lewis & Ricci!,"This little thing was recommended to me by my son. I am not the biggest of horror fans or teenage stuff. But this is not that.This is a VERY well told story and has superior acting first by Lynskey and Lewis and Ricci, and the rest are doing great. Beautifully filmed as well.Go beyond the pilot and get ready for some quality storytelling!"
"Season 1 -8*, season 2- 4*","What happened between season 1 and season 2? Is this another wiess-benioff attempt, where they had nothing to adapt after first book?Season 1 was excellent, mix of Alive, the craft, the edge etc. Plane crash in the mountains, girls soccer team has to learn to survive, but there's something murky in the woods. Is it the girls hunger mentally manifesting, or is it something more sinister Blair witchy like? Modern story also, but not as, interesting, survivors trying to get on with their lives while living with the consequences of what went on in the mountains.Season 2 - WTF?! Game of thrones season 8 in disguise, Ruined all the build up of the big bad in season 1, killed off any interesting plot threads started in season 1, killed off most interesting lead character, made the most interesting character in previous season as tedious and hateful as possible, not enough elijah wood who along with Christina ricci and Juliette Lewis are the only reasons to stick with modern story line as it's bloody awful. Characters jumping to conclusions somehow figuring stuff out, poor writing in general.Get rid of yellowjackets version of benioff and weiss and go back to what made season 1 so enjoyable.But more Walter and misty."
I'm digging this so far.,"First 2 episodes. Great Great cast, performances, storyline...
I assume this is looking for an under 35 demographic . Perhaps not. I'm a young 64 yo. I'm jaded when it comes to entertainment almost to the point that I lose interest. I'm still watching TWD even though I cannot stand anything about it lately.Keeping Showtime till season finale.Loved tonight's episode more than the first and they would have to work hard at screwing this up given how engaging the intro is.Fun."
